word,freq,sentiment_category
great,22372,1
perfect,20439,1
close,12595,1
quiet,11124,1
safe,4582,1
nice,4456,1
also,4240,-1
amazing,4159,1
fantastic,3574,1
boston,3364,-1
excellent,3216,1
austin,3174,-1
convenient,3000,1
very quiet,2953,1
too,2938,-1
beautiful,2933,1
area,2869,-1
very convenient,2779,1
good,2658,1
itself,2547,-1
ideal,2535,1
awesome,2410,1
nearby,2246,-1
very nice,2133,1
very safe,1923,1
around,1779,-1
walk,1758,-1
us,1756,-1
away,1744,-1
wonderful,1614,1
!better,1611,1
clean,1596,1
lovely,1548,1
night,1497,-1
neighborhood,1425,-1
next,1423,-1
downtown,1390,-1
as well,1299,-1
for,1250,-1
city,1232,-1
street,1184,-1
distance,1170,-1
well,1131,-1
easy,1072,1
everything,1043,-1
walking distance,1037,1
friendly,990,1
restaurants,985,-1
minutes,927,-1
very good,926,1
outside,892,-1
close everything,859,1
location,852,-1
walkable,816,1
unbeatable,739,1
me,698,-1
you,694,-1
really nice,686,1
superb,680,1
peaceful,653,1
absolutely perfect,630,1
walking,598,-1
places,596,-1
it,587,-1
place,569,-1
in,565,-1
charming,545,1
central,541,-1
close downtown,532,-1
super convenient,531,-1
incredible,527,-1
comfortable,525,-1
town,518,-1
old,516,0
full,505,-1
quiet neighborhood,502,1
quite,496,-1
drive,488,-1
noisy,478,0
cambridge,467,-1
very friendly,467,1
again,449,-1
fabulous,445,1
very clean,444,1
terrific,442,1
!far,441,1
outstanding,437,1
apartment,436,-1
offer,435,-1
gorgeous,432,1
loud,432,0
things,424,-1
better,418,0
great location,416,1
quaint,410,1
prime,409,-1
fine,404,-1
shops,402,-1
blocks,399,-1
fun,384,1
cute,384,1
house,383,-1
best,379,1
all,363,-1
get,362,-1
home,358,-1
upstairs,352,-1
residential,347,1
want,346,-1
close restaurants,338,1
parking,332,-1
bars,332,-1
very central,325,1
access,325,1
explore,325,-1
spacious,324,1
calm,324,1
ride,324,-1
there,323,-1
food,313,-1
our needs,310,-1
lots,309,-1
day,306,-1
host,306,-1
really convenient,304,1
harvard,302,-1
easy find,300,1
yet,299,-1
room,299,-1
park,298,-1
coffee,297,-1
really great,292,1
up,292,-1
just perfect,284,1
pretty quiet,284,1
square,283,-1
here,281,-1
space,279,-1
really good,278,1
kitchen,277,-1
plenty,277,-1
salem,275,-1
accessible,271,1
etc,271,-1
pretty good,270,1
ok,268,-1
great as well,266,1
great access,264,1
plus,260,-1
visiting,259,-1
time,255,-1
really quiet,255,1
adorable,255,1
pleasant,254,1
extremely convenient,250,1
end,248,-1
congress,248,-1
still,246,-1
min,246,-1
airport,245,-1
quiet street,244,1
very peaceful,244,1
airbnb,243,-1
back,241,-1
new,241,-1
station,239,-1
great restaurants,239,1
building,239,-1
private,239,1
very walkable,237,1
block,234,-1
though,234,-1
spot,232,-1
eat,231,-1
phenomenal,229,1
everywhere,229,-1
visit,226,-1
mins,225,-1
older,224,0
lot,222,-1
center,221,-1
sketchy,221,0
!more perfect,219,1
near,219,-1
available,217,1
car,217,-1
drink,217,-1
foot,215,-1
very helpful,215,1
t,214,-1
great place,212,1
our stay,210,-1
it was,209,-1
be,207,-1
!any better,207,1
easily,205,1
so convenient,205,1
described,203,-1
morning,201,-1
cool,199,-1
lots places,197,-1
super quiet,197,1
nice neighborhood,197,1
shop,191,-1
downstairs,189,-1
proximity,189,-1
very cute,188,1
easy get,186,1
very quite,186,1
worth,186,-1
you have,185,-1
secure,185,1
cozy,184,1
spectacular,183,1
hard beat,183,1
it is,183,-1
uber,183,-1
lots restaurants,181,1
pool,181,0
weekend,180,-1
one,180,-1
south,180,-1
north,179,-1
is,179,-1
6th street,179,-1
people,178,-1
anyone,178,-1
little sketchy,177,0
alone,176,0
beach,176,-1
distance restaurants,176,-1
overall,175,-1
have,175,-1
surrounding area,175,-1
so quiet,174,1
!best,174,0
those,173,-1
less,170,-1
central everything,169,1
looking,169,-1
great us,167,1
surrounding areas,167,-1
below,164,-1
public transportation,164,-1
neighbourhood,163,-1
amenities,163,-1
busy,162,0
great places,160,1
enough,159,-1
close airport,159,-1
corner,159,-1
close lot,158,-1
subway,157,-1
top notch,155,1
easy access,153,1
super,153,1
see,153,-1
hosts,152,-1
walking distance restaurants,152,1
more,151,-1
very beautiful,151,1
very close,151,1
very comfortable,151,1
right,149,1
great area,149,1
stay,149,-1
minutes downtown,148,-1
okay,147,0
very pleasant,147,1
times,147,-1
noise,146,0
trail,145,-1
perfect location,145,1
price,144,-1
our trip,144,-1
being,142,-1
my needs,142,-1
small,141,-1
very calm,140,1
rough,140,0
super cute,140,1
close station,140,-1
traffic,138,-1
family,138,-1
really safe,138,1
little noisy,138,0
bus,137,-1
bed,136,-1
that,136,-1
river,135,-1
so nice,135,1
very close downtown,135,1
great neighborhood,134,1
distance everything,134,1
lively,133,1
definitely,131,-1
quite nice,131,1
construction,131,-1
store,131,-1
close places,131,-1
stop,130,-1
convenient everything,130,1
check,128,-1
mit,126,-1
out,126,-1
close transportation,125,-1
