noun,type
-15,0
-12,0
-8,0
60,0
70,0
80,0
90,0
1830,0
2018,0
️,0
-,0
--both,0
--cooking,0
--cute,0
--since,0
-#1,0
-backyard,0
-buses,0
-check,0
-collection,0
-dust,0
-everything,0
-front-,0
-good,0
-hanging,0
-house,3
-incl,0
-large,0
-maybe,0
-minutes,0
-neighborhood,2
-out,0
-parking,0
-perfect,0
-pets,0
-quite,0
-responsive,0
-safe,0
-site,0
-so,0
-someday,0
-they,0
-town,1
-wall,0
-washer,0
-which,0
-with,0
;-),0
;),0
！,0
!can,0
!so,0
.,0
.easy,0
.full,0
's,0
’s,0
@$$,0
@$$.,0
@10am,0
@11am,0
@radlittlehouse,0
@taskin,0
/check,0
/checking,0
/out,0
\,0
#,0
%,0
•flexible,0
•floor,0
•hair,0
•mat,0
°,0
+,0
|boston,0
~10,0
~100deg,0
~10minutes,0
~12am,0
~12min,0
~15,0
~4pm,0
~60,0
☺,0
♥,0
✅,0
❤,0
🏻,0
🏽,0
🐓,0
👌,0
🤙,0
😃,0
😉,0
😊,0
🙂,0
£,0
0c,0
1.3mi,0
10/3/16,0
10/5,0
100s,0
1030pm,0
10min,0
10mins,0
10minuites,0
10minutes,0
10mn,0
10p,0
10th,0
10usd,0
10x,0
11:00am,0
11:45pm,0
11/3/18,0
1130pm,0
11a,0
11th,0
12/21/17,0
120v,0
1230am,0
12nn,0
12th,0
13th,0
14th-18th,0
15f,0
15min,0
15mins,0
15minutes,0
15th,0
1600s,0
16th,0
1700s,0
1720s,0
1730s,0
17th,0
1800s,0
1830s,0
1840ies,0
1860s,0
1870s,0
1880s,0
18th,0
1900s,0
1920s,0
1930s,0
1940s,0
1950s,0
1960s,0
1970s,0
1980s,0
1990s,0
19th,0
1a,0
1am,0
1am-3am,0
1b,0
1br,0
1c,0
1f,0
1f.,0
1hr,0
1pish,0
1r,0
1r.,0
1st,0
20/30s,0
20`s,0
2000s,0
200sqft,0
20min,0
20mins,0
20minutes,0
20mn,0
20mns,0
20s,0
20th,0
21st,0
22nd,0
23flr,0
23rd,0
24hours,0
24hrs,0
24th,0
25min,0
25mins,0
25th,0
26th,0
26th-30th,0
27th,0
28th,0
2a,0
2am,0
2b,0
2c,0
2days,0
2min,0
2mn,0
2nd,0
2p,0
3:30pm,0
30's,0
30's-40,0
30’s-40,0
30/40s,0
300pm,0
30f,0
30ish,0
30min,0
30mins,0
30minutes,0
30s,0
30sec,0
30th,0
31st,0
330am,0
330pm,0
34th,0
35min,0
35mins,0
35n,0
35th,0
35years,0
37th,0
38th,0
3a,0
3am,0
3amish,0
3b,0
3bd,0
3br,0
3c,0
3rd,0
40's/50,0
40min,0
40mins,0
40minutes,0
40s,0
415pm,0
430am,0
43rd,0
45min,0
45mins,0
45minutes,0
45th,0
47th,0
4a,0
4am-5am,0
4b,0
4b.,0
4f,0
4th,0
4usd,0
5-min,0
5'10,0
50's/60,0
"50""s",0
50minites,0
50s,0
50s-60s,0
50s/60s,0
530pm,0
5a,0
5am,0
5min,0
5mins,0
5pm-1am,0
5r,0
5star,0
5stars,0
5th,0
5th/6th/7ths,0
6:30/6:45am,0
6:30/7’am,0
6’3,0
60's,0
60’s,0
60f,0
60s,0
60s/70s,0
630am,0
6s,0
6st,0
6th,0
7:10pm,0
7:30/8,0
7:30pm,0
7/11,0
70f,0
70f.,0
70ies,0
70s,0
730am,0
750sf,0
76degrees,0
77f,0
7a,0
7pm,0
7th,0
8:00pm,0
8:30am,0
80-,0
80`s,0
80s,0
80s-90s,0
830pm,0
8a,0
8f,0
8p,0
8pm,0
8pm-8am,0
8pm-9pm,0
8th,0
90s,0
930am,0
9a,0
9p,0
9pm,0
9th,0
a,0
a!,0
a.,0
a.c,0
a.c.,0
a.m,0
a.m.,0
a+,0
a+-location,2
a++,0
a1,0
a2a,0
a3,0
a4,0
aanwezig,0
aarde,0
aaron,0
aarons,0
ab&b,0
abb,0
abbey,0
abbie`s,0
abbotsford,0
abby,0
aber,0
abilities,0
ability,0
