word,is_neighbor
neightborhood,0
pulling,0
rotation,0
carla,0
patios,0
option,0
rolls,0
caren,0
facility,0
builder,0
suburbs,0
one,0
aired,0
holes,0
board,0
dream,0
vicinity,0
great-,0
calls/,0
hopes,0
hints,0
lovcation,0
stereo,0
closer,0
roams,0
plans,0
there,0
claire,0
path,0
bones,0
eight,0
great,0
foods,0
grease,0
height,0
surely,0
rocks,0
waller,0
aromas,0
gone,0
blame,0
dealing,0
planes,0
stone,0
sergey,0
callie,0
transit,0
plane,0
ready,0
tones,0
read,0
prices,0
downstairs,0
closets,0
treat,0
locate,0
building(s,0
crowd,0
halls,0
maine,0
greet,0
later,0
cathy,0
poles,0
loads,0
linee,0
grear,0
malls,0
apple,0
glade,0
neighborhoods,0
allyn,0
surrounding,0
buildings,0
lorne,0
alley,0
blacks,0
ellie,0
gateway,0
prone,0
rained,0
line,0
plants,0
roast,0
calls,0
zonas,0
goals,0
tulle,0
night,0
building,0
roam,0
scale,0
location,0
slices,0
atmosphere,0
ideas,0
proximité,0
ahead,0
pathways,0
goods,0
reasons,0
fleas,0
theater,0
loner,0
sidewalks,0
y’alls,0
units,0
regional,0
round,0
neigbourhood,0
waive,0
elaine,0
alone,0
communion,0
maria,0
ariel,0
patio,0
destination,0
tunes,0
boxes,0
suburban,0
have.a,0
weight,0
jane,0
janet,0
landed,0
late,0
plates,0
spine,0
money,0
theorem,0
balls,0
willing,0
strict,0
woods,0
proximate,0
baths,0
sonos,0
hynes,0
comes,0
infinity,0
pains,0
robes,0
ones,0
plain,0
neighbuorhood,0
neighbourhoods,0
shane,0
lawns,0
raise,0
environment,0
treats,0
planet,0
vance,0
stream,0
outdoors,0
nadine,0
karen,0
jaime,0
lotions,0
cared,0
zona,0
ample,0
bunting,0
are,0
peace,0
highway,0
agree,0
locally,0
phone,0
sheets/,0
lined,0
sheets,0
build,0
dates,0
break,0
cares,0
liner,0
tone,0
done,0
boards,0
bathe,0
alexa,0
palace,0
occasion,0
walls,0
steep,0
location/,0
bonus,0
holds,0
areas,0
parks,0
portion,0
raney,0
ponds,0
all-,0
valued,0
alter,0
karley,0
dress,0
action,0
storey,0
until,0
smelling,0
homes,0
street,0
stones,0
rooms,0
loves,0
oozes,0
faint,0
alive,0
calme,0
range,0
background,0
parts,0
bouldin,0
allow,0
linen,0
gates,0
neighbors,0
ankle,0
rowdy,0
leave,0
zones,0
valley,0
union,0
stray,0
rates,0
trees,0
yard.a,0
bread,0
table,0
vacation,0
salle,0
rainy,0
theatres,0
peaches,0
vanity,0
stress,0
neighbor,0
lane,0
roach,0
phases,0
heads,0
roads,0
rad,0
large,0
angle,0
crowds,0
bains,0
cream,0
load,0
ariels,0
communal,0
acres,0
county,0
fallen,0
neibourhood,0
sliding,0
section,0
jayne,0
telling,0
pieces,0
closet,0
coner,0
outlook,0
sweet,0
theatre,0
folding,0
pines,0
located,0
wante,0
bulldog,0
sheet,0
breaks,0
gaines,0
gnats,0
rainey,0
regina,0
suburb,0
hallway,0
locals,0
plays,0
foxes,0
rod,0
locating,0
sweets,0
soaps,0
lying,0
location-,0
freak,0
surrounded,0
surroundings,0
neighbourhood,0
able,0
aunts,0
leann,0
clare,0
proud,0
-one,0
honest,0
region,0
none,0
falls,0
bedding,0
played,0
pilates,0
phones,0
local,0
taller,0
paint,0
station,0
value,0
codes,0
unit,0
bustling,0
close,0
loction,0
closest,0
goats,0
lords,0
place-,0
districts,0
array,0
canoe,0
maría,0
district,0
lotion,0
faces,0
latin,0
tongs,0
lovable,0
adress,0
neighborhood,0
place,0
lace,0
closed,0
pauls,0
called,0
leanne,0
lake,0
election,0
motion,0
stacey,0
regiane,0
cable,0
maize,0
holding,0
sodas,0
notes,0
placed,0
barley,0
lines,0
llike,0
locks,0
zoe,0
values,0
leads,0
spaces,0
player,0
suits,0
arepas,0
street/10,0
mates,0
located-,0
maple,0
locations,0
yelling,0
land,0
boats,0
all,0
establishment,0
paige,0
closely,0
lager,0
screen,0
shine,0
streets,0
