word,freq,is_it_safe,describing_neighborhood
great,22372,-1,-1
perfect,20439,-1,-1
close,12595,-1,-1
quiet,11124,-1,-1
safe,4582,1,-1
nice,4456,-1,-1
also,4240,-1,-1
amazing,4159,-1,-1
fantastic,3574,-1,-1
boston,3364,-1,-1
excellent,3216,-1,-1
austin,3174,-1,-1
convenient,3000,-1,-1
very quiet,2953,-1,-1
too,2938,-1,-1
beautiful,2933,-1,-1
area,2869,-1,-1
very convenient,2779,-1,-1
good,2658,-1,-1
itself,2547,-1,-1
ideal,2535,-1,-1
awesome,2410,-1,-1
nearby,2246,-1,-1
very nice,2133,-1,-1
very safe,1923,1,-1
around,1779,-1,-1
walk,1758,-1,-1
us,1756,-1,-1
away,1744,-1,-1
wonderful,1614,-1,-1
!better,1611,-1,-1
clean,1596,-1,-1
lovely,1548,-1,-1
night,1497,-1,-1
neighborhood,1425,-1,-1
next,1423,-1,-1
downtown,1390,-1,-1
as well,1299,-1,-1
for,1250,-1,-1
city,1232,-1,-1
street,1184,-1,-1
distance,1170,-1,-1
well,1131,-1,-1
easy,1072,-1,-1
everything,1043,-1,-1
walking distance,1037,-1,-1
friendly,990,-1,-1
restaurants,985,-1,-1
minutes,927,-1,-1
very good,926,-1,-1
outside,892,-1,-1
everything close,859,-1,-1
location,852,-1,-1
walkable,816,-1,-1
unbeatable,739,-1,-1
me,698,-1,-1
you,694,-1,-1
really nice,686,-1,-1
superb,680,-1,-1
peaceful,653,-1,-1
absolutely perfect,630,-1,-1
walking,598,-1,-1
places,596,-1,-1
it,587,-1,-1
place,569,-1,-1
in,565,-1,-1
charming,545,-1,-1
central,541,-1,-1
super convenient,531,-1,-1
downtown close,530,-1,-1
incredible,527,-1,-1
comfortable,525,-1,-1
town,518,-1,-1
old,516,-1,-1
full,505,-1,-1
quiet neighborhood,503,-1,-1
quite,496,-1,-1
drive,488,-1,-1
noisy,478,-1,-1
very friendly,467,-1,-1
cambridge,467,-1,-1
again,449,-1,-1
fabulous,445,-1,-1
very clean,444,-1,-1
terrific,442,-1,-1
!far,441,-1,-1
outstanding,437,-1,-1
apartment,436,-1,-1
offer,435,-1,-1
loud,432,-1,-1
gorgeous,432,-1,-1
things,424,-1,-1
better,418,-1,-1
great location,412,-1,-1
quaint,410,-1,-1
prime,409,-1,-1
fine,404,-1,-1
shops,402,-1,-1
blocks,399,-1,-1
cute,384,-1,-1
fun,384,-1,-1
house,383,-1,-1
best,379,-1,-1
all,363,-1,-1
get,362,-1,-1
home,358,-1,-1
upstairs,352,-1,-1
residential,347,-1,-1
want,346,-1,-1
restaurants close,338,-1,-1
bars,332,-1,-1
parking,332,-1,-1
very central,325,-1,-1
explore,325,-1,-1
access,325,-1,-1
ride,324,-1,-1
spacious,324,-1,-1
calm,324,-1,-1
there,323,-1,-1
food,313,-1,-1
our needs,310,-1,-1
lots,309,-1,-1
day,306,-1,-1
host,306,-1,-1
really convenient,304,-1,-1
harvard,302,-1,-1
find easy,299,-1,-1
room,299,-1,-1
yet,299,-1,-1
park,298,-1,-1
coffee,297,-1,-1
up,292,-1,-1
really great,292,-1,-1
pretty quiet,284,-1,-1
just perfect,284,-1,-1
square,283,-1,-1
here,281,-1,-1
space,279,-1,-1
really good,278,-1,-1
kitchen,277,-1,-1
plenty,277,-1,-1
salem,275,-1,-1
accessible,271,-1,-1
etc,271,-1,-1
pretty good,270,-1,-1
ok,268,-1,-1
as well great,266,-1,-1
plus,260,-1,-1
visiting,259,-1,-1
access great,256,-1,-1
really quiet,255,-1,-1
time,255,-1,-1
adorable,255,-1,-1
pleasant,254,-1,-1
extremely convenient,250,-1,-1
end,248,-1,-1
congress,248,-1,-1
still,246,-1,-1
min,246,-1,-1
airport,245,-1,-1
quiet street,244,-1,-1
very peaceful,244,-1,-1
airbnb,243,-1,-1
back,241,-1,-1
new,241,-1,-1
station,239,-1,-1
private,239,-1,-1
building,239,-1,-1
very walkable,237,-1,-1
block,234,-1,-1
though,234,-1,-1
spot,232,-1,-1
eat,231,-1,-1
everywhere,229,-1,-1
phenomenal,229,-1,-1
visit,226,-1,-1
mins,225,-1,-1
older,224,-1,-1
lot,222,-1,-1
sketchy,221,2,-1
center,221,-1,-1
!more perfect,219,-1,-1
near,219,-1,-1
drink,217,-1,-1
car,217,-1,-1
available,217,-1,-1
foot,215,-1,-1
very helpful,215,-1,-1
t,214,-1,-1
great place,210,-1,-1
our stay,210,-1,-1
it was,209,-1,-1
be,207,-1,-1
!any better,207,-1,-1
easily,205,-1,-1
so convenient,205,-1,-1
described,203,-1,-1
morning,201,-1,-1
nice neighborhood,199,-1,-1
cool,199,-1,-1
places lots,197,-1,-1
super quiet,197,-1,-1
shop,191,-1,-1
downstairs,189,-1,-1
proximity,189,-1,-1
very cute,188,-1,-1
very quite,186,-1,-1
get easy,186,-1,-1
worth,186,-1,-1
secure,185,-1,-1
you have,185,-1,-1
cozy,184,-1,-1
beat hard,183,-1,-1
uber,183,-1,-1
it is,183,-1,-1
spectacular,183,-1,-1
restaurants lots,181,-1,-1
pool,181,-1,-1
weekend,180,-1,-1
one,180,-1,-1
south,180,-1,-1
6th street,179,-1,-1
is,179,-1,-1
north,179,-1,-1
people,178,-1,-1
anyone,178,-1,-1
little sketchy,177,2,-1
alone,176,-1,-1
beach,176,-1,-1
restaurants distance,176,-1,-1
overall,175,-1,-1
have,175,-1,-1
surrounding area,175,-1,-1
!best,174,-1,-1
so quiet,174,-1,-1
those,173,-1,-1
less,170,-1,-1
looking,169,-1,-1
everything central,169,-1,-1
surrounding areas,167,-1,-1
us great,167,-1,-1
great restaurants,167,-1,-1
below,164,-1,-1
public transportation,164,-1,-1
amenities,163,-1,-1
neighbourhood,163,-1,-1
busy,162,-1,-1
corner,159,-1,-1
enough,159,-1,-1
lot close,158,-1,-1
airport close,158,-1,-1
subway,157,-1,-1
top notch,155,-1,-1
see,153,-1,-1
super,153,-1,-1
hosts,152,-1,-1
walking restaurants distance,152,-1,-1
very comfortable,151,-1,-1
very beautiful,151,-1,-1
very close,151,-1,-1
more,151,-1,-1
stay,149,-1,-1
right,149,-1,-1
downtown minutes,148,-1,-1
okay,147,-1,-1
very pleasant,147,-1,-1
times,147,-1,-1
noise,146,-1,-1
trail,145,-1,-1
perfect location,145,-1,-1
price,144,-1,-1
our trip,144,-1,-1
being,142,-1,-1
my needs,142,-1,-1
small,141,-1,-1
very calm,140,-1,-1
station close,140,-1,-1
rough,140,-1,-1
super cute,140,-1,-1
little noisy,138,-1,-1
traffic,138,-1,-1
family,138,-1,-1
really safe,138,1,-1
bus,137,-1,-1
bed,136,-1,-1
that,136,-1,-1
very downtown close,135,-1,-1
river,135,-1,-1
so nice,135,-1,-1
everything distance,134,-1,-1
lively,133,-1,-1
everything convenient,132,-1,-1
store,131,-1,-1
quite nice,131,-1,-1
construction,131,-1,-1
definitely,131,-1,-1
