lat,long,r-score,property_id
40.6911424097572,-73.9404851514035,2,7708860
40.80803,-73.94647,2,18208738
40.67644,-74.01184,1,27079015
41.33371,-73.83602,1,12601596
40.70256,-73.92094,1,20788446
40.6705391118159,-73.7815810759327,1,10983494
40.8351627683497,-73.9419467602283,1,10987024
41.044,-73.92,3,13652496
40.7293,-73.9834,-1,29277979
40.7525,-73.81126,26,886833
40.7475849185935,-73.9736360343283,9,5593225
40.68439,-73.93753,0,31881525
40.64187,-74.00262,4,18234572
40.7599491976529,-73.9943694125131,1,15719302
40.755,-73.987,3,21947062
40.813,-73.945,11,1988823
40.82177,-73.94574,2,23407179
40.709,-73.96,4,29337285
40.75015,-73.85961,6,20819116
40.885,-73.115,1,15726774
41.33437,-73.83581,1,20833547
40.68464,-73.92268,2,23452076
40.70982,-74.00628,2,23453908
40.75172,-73.99784,2,21983547
40.6467,-73.94841,0,21989166
40.61182,-73.96764,9,8741124
40.73425,-73.95506,1,905425
40.8085545637268,-73.9202651434652,0,15756282
40.6562777598639,-73.9226454606154,4,8743749
40.68474,-73.97959,2,3139918
40.6938273499136,-73.9277129504885,2,15757745
40.675,-73.92358,-1,27237325
40.7151919963749,-73.9614034262908,4,4098085
40.8329434744954,-73.9216151055039,1,16762695
40.6429444729546,-73.971515602945,2,7646725
40.7046,-73.92198,1,23482476
40.70649,-74.01227,1,32237240
40.6936818830582,-73.9207302896379,0,16767160
40.7106062501084,-73.9428839440496,1,12736192
40.71937,-73.98935,-1,16767867
40.69692,-73.90832,5,16769229
40.7163799670067,-73.9887034325304,3,8762308
40.80663,-73.94991,1,5663222
40.91192,-73.78118,1,32134088
40.75292,-73.96386,-1,22032243
40.61609,-73.95893,1,22032605
40.78079,-73.96448,6,4109907
40.6853856081023,-73.9129468534658,3,5677210
40.74155,-73.97916,-1,25231145
40.8082296946727,-73.9504089768404,1,4820760
40.712313517788,-73.9566364336671,1,22036160
40.67731,-73.97475,3,5679557
40.6835063330258,-73.9196864945684,2,5680714
40.8170887793994,-73.9374392117462,2,13742690
40.71165,-73.9993,1,15782266
40.8090059843369,-73.9550400711347,3,22049660
40.708978065894,-73.9549374393045,-1,22051295
40.65766,-73.97927,1,6691625
40.7003978704418,-73.9279166049356,1,3185634
40.75577,-73.83263,4,14694588
40.69117,-73.97421,3,3187925
40.77948,-73.94673,10,4125300
40.71944,-73.99396,-1,20900984
40.78661,-73.94349,3,29514909
40.70006,-73.95388,1,15788312
40.75444,-73.83057,3,927597
40.70417,-74.00829,1,18358279
40.74988,-73.82884,1,13761271
40.63268,-73.96059,8,4132116
40.74852,-73.97521,4,9826062
40.8086725102247,-73.9383123111731,-1,11202706
40.7136843379311,-73.9637599167783,2,9827188
40.70854,-73.96242,4,13766130
40.65377,-73.95927,1,35336447
40.7108454405599,-73.9102455309077,5,9833962
40.6157224570682,-73.9917364592293,1,6715399
40.58615,-73.94784,1,14728788
40.69315,-73.94191,3,32334037
40.6138068177205,-73.9551894651006,1,12836280
40.7836,-73.9522,7,19654970
40.6476978274417,-73.9731204741944,3,16855676
40.76062,-73.98954,-2,29622837
40.74388,-73.99631,2,25355845
40.7652034510046,-73.9121002112168,1,13811462
40.6961731031245,-73.9222521195421,3,14748605
40.74659,-73.97169,1,32421016
40.74981,-73.82742,2,13815162
40.63443,-73.96703,1,9865344
40.7199470115506,-73.7441794592773,2,13821045
40.67308,-73.99333,6,4891441
40.7420246108108,-73.8978611992486,1,11323609
40.81732,-73.94757,4,5761032
40.7252129120706,-73.9832749962756,3,3247463
40.8116448492921,-73.9091100381208,1,4909208
40.7644142245523,-73.8881323928955,3,25428959
40.76905,-73.9692,1,4170731
40.79246,-73.97481,4,5773199
40.769360217347,-73.9199788733555,4,11357269
40.80416,-73.95704,1,19701913
40.77452,-73.94951,5,2100174
