word,is_neighbor
nelle,0
commodity,0
/value,0
aline,0
alue,0
/plants,0
neighbourbood,0
farer,0
area!so,0
valer,0
pkaces,0
allzu,0
begins,0
placeto,0
plates,0
heighborhood,0
played,0
planet,0
large--,0
neighbourhoood,0
streeft,0
sweeet,0
backroads,0
valary,0
lication,0
locatied,0
ptits,0
treed,0
neighborly,0
paced,0
theire,0
alone,0
zon,0
located-,0
grea,0
clases,0
environnent,0
alains,0
patsy,0
iliane,0
toner,0
bulding,0
haría,0
baino,0
nhood,0
mains,0
l'unité,0
able,0
atmosphere~,0
mange,0
neighborhoods--,0
county,0
ilana,0
hynes,0
walled,0
envitoment,0
ambas,0
abble,0
-alway,0
razas,0
divinity,0
atmospheric,0
neightbourhood,0
neighbourhoods,0
alyas,0
grace´s,0
bailey,0
ponies,0
amess,0
ready,0
wally,0
abbas,0
head(s,0
disctrict,0
uncity,0
location//,0
neighbarhood,0
reine,0
bonus--,0
agregas,0
zoned,0
atmospere,0
---close,0
totes,0
d’aller,0
dread,0
transitar,0
eller,0
nonstairs,0
narda`s,0
heads,0
hoods,0
placares,0
grond,0
doses,0
sorrunding,0
conte,0
placce,0
builing,0
4-unit,0
rosas,0
boiling,0
atmostsphere,0
robbs,0
anitas,0
cable,0
crease,0
larvas,0
dainne,0
waits,0
plaxe,0
faras,0
matt´s,0
rears,0
cones,0
cremas,0
ariels,0
libation,0
aldine,0
agers,0
nomad,0
cream--,0
idling,0
vallas,0
areawas,0
placenis,0
neigbborhood,0
/location,0
talde,0
--building,0
stricr,0
roamed,0
budding,0
place,0
faite,0
foods-,0
celling,0
locks/,0
boards,0
ocasion,0
street上,0
ane,0
vande,0
location—1,0
niehgborhood,0
lander,0
bugging,0
caits,0
apple,0
communite,0
blame,0
horne,0
toits,0
arepe,0
breads,0
baths(2,0
hopes,0
gliding,0
slates,0
aérer,0
palms,0
paul‘s,0
communing,0
meighborhood,0
longe,0
laces,0
saint,0
zekes,0
parís,0
ondes,0
location!!in,0
roman,0
strewn,0
allens,0
locatiin,0
área,0
meine,0
closet--,0
planea,0
location/,0
bulging,0
load,0
rolls,0
table/,0
ayehs,0
treia,0
press-,0
varías,0
latin,0
break/,0
rains,0
scales,0
blaire,0
surounding,0
room(s,0
highwood,0
toned,0
karla´s,0
neighbourghs,0
coned,0
loaves,0
ageat,0
treat-,0
area.up,0
there'e,0
sorbet,0
pelle,0
sondes,0
allny,0
roasts,0
place~,0
locational,0
marcas,0
builded,0
zanne,0
plats,0
location.we,0
gataway,0
axles,0
lines),0
liann,0
mille,0
roatin,0
monks,0
/all,0
arisa,0
andreas,0
bathe,0
iland,0
l'occupation,0
distrct,0
nates,0
naighborhood,0
andrea´s,0
bondes,0
neighbors1,0
busting,0
woods-,0
neighborhood.l,0
orhood,0
dared,0
flame,0
neighbrohood,0
aince,0
locayed,0
burying,0
--one,0
atomosphire,0
postion,0
close--,0
langen,0
goods,0
breat,0
infinity,0
sabine,0
taras,0
wanes,0
jonction,0
plages,0
neighours,0
crossword,0
laser,0
pines,0
abile,0
freya,0
neighbour'a,0
bunking,0
unit-1,0
elana,0
later)-,0
.patty,0
arra,0
paine,0
neighboordhoud,0
waite,0
olace,0
kate‘s,0
halsey,0
discrict,0
tonnes,0
spelling,0
lock(s,0
laney,0
stree,0
parya,0
blames,0
boone,0
backroom,0
stretti,0
neightboorhood,0
moves,0
comunicó,0
dailey,0
locos,0
communed,0
baller,0
sodas,0
trena,0
pratos,0
towne,0
drones,0
locataire,0
wohne,0
ailey,0
alexas,0
"line,2",0
table,0
locaion,0
lara‘s,0
packs,0
n’hood,0
neighborhood(s,0
glace,0
l'aria,0
biulding,0
.rooms,0
stress-,0
buildind,0
/lakes,0
uable,0
lenge,0
papas,0
walls,0
blace,0
karlas,0
toad,0
are,0
pales,0
proyimity,0
roam,0
ficilities,0
evine,0
neighrborhood,0
bildung,0
locaiton,0
d'aide,0
urine,0
all,0
balldrop,0
they're,0
alaise,0
mores,0
evironment,0
sara`s,0
plated,0
downstairs:-,0
sonal‘s,0
hoses,0
neighbou,0
sallay,0
-theres,0
partis,0
neightbourhour,0
boned,0
leigh,0
planos,0
irena‘s,0
nieghborhood,0
greet,0
budin,0
pared,0
all­,0
subborbs,0
restricts,0
adria,0
rahway,0
banke,0
stdreet,0
neighbour,0
harba,0
blacks,0
noone,0
slang,0
somes,0
sonos,0
rowdy,0
",there",0
estanlishments,0
height,0
place!,0
sarete,0
pacos,0
donations,0
lokaatio,0
-street,0
alles,0
fallu,0
lace,0
alise,0
l'patron,0
there^^,0
locat,0
younes,0
asale,0
streaks,0
repas,0
validity,0
l'aire,0
swaths,0
comunity,0
creams,0
location:++,0
played-,0
farta,0
later,0
juction,0
curdling,0
reviens,0
hates,0
vacatio,0
areas(15,0
paties,0
locacion,0
steer,0
ariks,0
ajena,0
buildings,0
ovation,0
plain,0
aross,0
nightborhood,0
alway,0
zanet,0
dreya,0
neigberhood,0
coney,0
place!n,0
local,0
jared's,0
atmosfære,0
breaks,0
--great,0
faiths,0
neighborhoodis,0
falled,0
langem,0
roal,0
armer,0
valley-,0
valeu,0
placest,0
valley,0
races,0
anita,0
night),0
knots,0
marine,0
starlets,0
parka,0
unis,0
blaze´s,0
placeq,0
zoo.we,0
fallo,0
prema,0
neighborhood),0
astmosphere,0
communal,0
bords,0
nonee,0
maria,0
neightboor,0
aree,0
breda,0
vocation,0
lones,0
place(la,0
cable-,0
proximityto,0
billing,0
lotions,0
plass,0
songs,0
tines,0
playland,0
l'occasione,0
place;ie,0
anias,0
feine,0
sweet/,0
station),0
loses,0
roland,0
environ,0
farine,0
surrouding,0
jonne,0
locaction,0
phases,0
rainy,0
neighborhoods-,0
liase,0
laires,0
neighbourhood´s,0
ponte,0
halfway,0
placez,0
mints,0
theere,0
etions,0
aone,0
straat,0
value-,0
regiane,0
neighborhod,0
quads,0
eines,0
clank,0
5nuits,0
united,0
c.place,0
builder,0
path-,0
ideas,0
l'aide,0
frond,0
surranding,0
codes--,0
racine,0
apenas,0
pattys,0
close/,0
neighoborhood,0
playas,0
arepas,0
to)--and,0
sreet,0
neighboroud,0
arnau,0
partway,0
wafle,0
alices,0
irlas,0
district,0
rocks,0
locqtion,0
place^^,0
--rod,0
downstaira,0
zocalo,0
platos,0
uni.the,0
creak,0
alene,0
creia,0
globale,0
neighbourd,0
valdet,0
builiding,0
linea,0
bumbling,0
karen:-,0
honks,0
tally,0
place(15,0
neighboured,0
-jared,0
neighboorhood,0
n'aime,0
motion,0
alleys,0
pallo,0
thersa,0
-elle,0
ipads,0
alinea,0
placer,0
pitts,0
rotas,0
allthe,0
moines,0
unit(as,0
arena,0
close-,0
surround,0
irems,0
naighberhood,0
aroud,0
destination,0
"unit,!so",0
noahs,0
neighborhood(we,0
mnths,0
arear,0
suburban,0
sorround,0
kalla,0
selle,0
janey,0
lang,0
emits,0
kayley,0
placard,0
ownes,0
loaction,0
lical,0
buildup,0
alaina,0
designations,0
layne,0
localisé,0
alter,0
allexe,0
edits,0
sprees,0
peices,0
lain,0
neibors,0
streat,0
welding,0
afrer,0
paing,0
ademas,0
alice‘s,0
rod,0
steeds,0
neighbouhood,0
